""
"   Index Time          EntryType   Source                 InstanceID Message                                                                                                                                                      "
"   ----- ----          ---------   ------                 ---------- -------                                                                                                                                                      "
"     844 May 12 08:01  Information WinRM                      468900 The description for Event ID '468900' in Source 'WinRM' cannot be found.  The local computer may not have the necessary registry information or message DL..."
"     843 May 12 08:01  Warning     WinRM                      468901 The description for Event ID '468901' in Source 'WinRM' cannot be found.  The local computer may not have the necessary registry information or message DL..."
"     842 May 12 07:56  Information Service Control M...   1073748864 The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.                                           "
"     841 May 12 07:51  Information Service Control M...   1073748864 The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.                                           "
"     840 May 12 07:50  Information Service Control M...   1073748869 A service was installed in the system....                                                                                                                    "
"     839 May 12 07:25  Information Microsoft-Windows...           16 The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry in..."
"     838 May 12 07:25  Information Microsoft-Windows...           44 Windows Update started downloading an update.                                                                                                                "
"     837 May 12 07:24  Information Microsoft-Windows...           44 Windows Update started downloading an update.                                                                                                                "
"     836 May 12 07:24  Information Microsoft-Windows...           16 The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry in..."
"     835 May 12 07:24  Information Microsoft-Windows...           16 The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry in..."
"     834 May 12 07:22  Information Microsoft-Windows...           44 Windows Update started downloading an update.                                                                                                                "
"     833 May 12 07:22  Information Microsoft-Windows...            1 The system has returned from a low power state....                                                                                                           "
"     832 May 12 07:22  Information Microsoft-Windows...          131 The description for Event ID '131' in Source 'Microsoft-Windows-Kernel-Power' cannot be found.  The local computer may not have the necessary registry inf..."
"     831 May 12 07:22  Information Microsoft-Windows...            1 Possible detection of CVE: 2024-05-11T23:22:08.5000000Z...                                                                                                   "
"     830 May 11 21:27  Information Microsoft-Windows...          107 The description for Event ID '107' in Source 'Microsoft-Windows-Kernel-Power' cannot be found.  The local computer may not have the necessary registry inf..."
     829 May 11 21:27  Information Microsoft-Windows...           42 The description for Event ID '42' in Source 'Microsoft-Windows-Kernel-Power' cannot be found.  The local computer may not have the necessary registry
