Event Log
"
   Index Time          EntryType   Source                 InstanceID Message                                           
   ----- ----          ---------   ------                 ---------- -------                                           
   24532 May 12 06:00  Error       Microsoft-Windows...         1796 The Secure Boot update failed to update a Secur...
   24531 May 12 05:57  Information Service Control M...   1073748864 The start type of the Background Intelligent Tr...
   24530 May 12 05:55  Information Service Control M...   1073748864 The start type of the Background Intelligent Tr...
   24529 May 12 05:52  Information Microsoft-Windows...            1 The system has returned from a low power state....
   24528 May 12 05:52  Information Microsoft-Windows...          130 The description for Event ID '130' in Source 'M...
   24527 May 12 05:52  Information Microsoft-Windows...          131 The description for Event ID '131' in Source 'M...
   24526 May 12 05:52  Information Microsoft-Windows...            1 Possible detection of CVE: 2024-05-11T21:52:32....
   24525 May 11 22:30  Information Microsoft-Windows...          107 The description for Event ID '107' in Source 'M...
   24524 May 11 22:30  Information Microsoft-Windows...           42 The description for Event ID '42' in Source 'Mi...
   24523 May 11 22:04  Warning     DCOM                        10016 The description for Event ID '10016' in Source ...
   24522 May 11 21:18  Information Microsoft-Windows...           19 Installation Successful: Windows successfully i...
   24521 May 11 21:18  Information Microsoft-Windows...           43 Installation Started: Windows has started insta...
   24520 May 11 21:18  Information Microsoft-Windows...           44 Windows Update started downloading an update.     
   24519 May 11 20:54  Information Microsoft-Windows...            1 The system has returned from a low power state....
   24518 May 11 20:54  Information Microsoft-Windows...           16 The description for Event ID '16' in Source 'Mi...
   24517 May 11 20:54  Information Microsoft-Windows...          130 The description for Event ID '130' in Source 'M...
   24516 May 11 20:54  Information Microsoft-Windows...          131 The description for Event ID '131' in Source 'M...
   24515 May 11 20:54  Information Microsoft-Windows...            1 Possible detection of CVE: 2024-05-11T12:54:22....
   24514 May 11 20:53  Information Microsoft-Windows...          107 The description for Event ID '107' in Source 'M...
   24513 May 11 20:53  Information Microsoft-Windows...           42 The description for Event ID '42' in Source 'Mi...
   24512 May 11 20:51  Information Microsoft-Windows...           16 The description for Event ID '16' in Source 'Mi...
   24511 May 11 19:44  Warning     Microsoft-Windows...         1014 Name resolution for the name m.qualifytring.com...
   24510 May 11 19:41  Warning     DCOM                        10016 The description for Event ID '10016' in Source ...
   24509 May 11 19:29  Information Service Control M...   1073748864 The start type of the Background Intelligent Tr...
   24508 May 11 19:27  Information Service Control M...   1073748864 The start type of the Background Intelligent Tr...
   24507 May 11 19:24  Warning     DCOM                        10016 The description for Event ID '10016' in Source ...
   24506 May 11 19:22  Warning     DCOM                        10016 The description for Event ID '10016' in Source ...
   24505 May 11 19:16  Information Microsoft-Windows...           98 The description for Event ID '98' in Source 'Mi...
   24504 May 11 19:14  Warning     DCOM                        10016 The description for Event ID '10016' in Source ...
   24503 May 11 19:14  Warning     DCOM                        10016 The description for Event ID '10016' in Source ...
   24502 May 11 19:14  Warning     DCOM                        10016 The description for Event ID '10016' in Source ...
   24501 May 11 19:14  Information WinRM                      468900 The description for Event ID '468900' in Source...
   24500 May 11 19:13  Error       Service Control M...   3221232503 The Windows Installer service terminated unexpe...
   24499 May 11 19:12  Information Microsoft-Windows...         1025 The TPM was successfully provisioned and is now...
   24498 May 11 19:12  Information Microsoft-Windows...         1282 The TBS device identifier has been generated.     
   24497 May 11 19:12  Information TPM                            18 This event triggers the Trusted Platform Module...
   24496 May 11 19:12  Error       Microsoft-Windows...         1796 The Secure Boot update failed to update a Secur...
   24495 May 11 19:12  Warning     DCOM                        10016 The description for Event ID '10016' in Source ...
